,title,href,company,description,salary
40,Экономист-бухгалтер удалённо,https://spb.hh.ru/vacancy/54522511?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ИП Емельянцева Светлана Арьевна,"Проводить анализ отклонений «план-факт». -Контроль ввода данных , первичной документации. -Осуществлять экономический анализ хозяйственной деятельности предприятия и его подразделений. Высшее экономическое образование. —Опыт работ на аналогичной должности не менее 3 лет. —Знание всех участков бухгалтерского учета и налогового законодательства. —",40 000 – 42 000 руб.
41,Экономист (ГОЗ),https://spb.hh.ru/vacancy/54318091?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Инмет,"...контракту в рамках ГОЗ. Подготовка и защита пакета документов для обоснования метода определения цены. Взаимодействие и подготовка данных для бухгалтерии.Высшее образование. Навыки составления, проверки и анализа расчетно-калькуляционных материалов, калькулирования себестоимости, планово-экономической работы. Желательно знание бухгалтерского и раздельного...",от 70 000 руб.
42,Главный экономист,https://spb.hh.ru/vacancy/51473441?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Галактика,"Контроль исполнения бюджета, анализ дебиторской и кредиторской задолженности, эффективности и использования денежных средств. Анализ проведения тендеров, заключаемых договоров. Опыт работы более 3-х лет. Отличное знание Excel (обработка больших объемов данных, организация межформенного контроля). Грамотная устная и письменная...",110 000 – 130 000 руб.
43,Экономист,https://spb.hh.ru/vacancy/54621883?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,НПК Морсвязьавтоматика,"План-фактный анализ по подразделению, расчет показателей эффективности подразделения. Контроль внесения фактических данных в систему учета предприятия. Списание материальных затрат...Высшее экономическое образование. Опыт работы на производственном предприятии. Знание методов расчета себестоимости (управленческий учет). Понимание принципов бухгалтерского и налогового учета. ",от 55 000 руб.
44,Специалист на программу ВТБ РОСТ в Технологический блок,https://spb.hh.ru/vacancy/54902165?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Changellenge,"Данное направление включает в себя ИТ-подразделения, специализирующиеся на анализе данных и моделировании, идентификации, оценке и мониторинге рисков, экспертизе и...В том числе Студенты и выпускники магистратуры. Специализация: экономика, финансы, инженерно-технический и физико-математический профиль, информационные технологии. ",до 100 000 руб.
45,Ведущий специалист планово-экономического отдела,https://spb.hh.ru/vacancy/54879861?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Государственное бюджетное учреждение Ленинградской области Многофункциональный центр предоставления государственных и муниципальных услуг,"Составление пояснительных записок к плану финансово-хозяйственной деятельности . Сбор, обработка, анализ информации для составления плана финансово-хозяйственной деятельности. Умение работать с большим массивом данных. Коммуникативные навыки, точность и скрупулезность при работе с цифрами. Опыт экономической работы от 1...",50 000 – 55 000 руб.
46,Специалист по ценообразованию (сметный отдел),https://spb.hh.ru/vacancy/54900466?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО Эн-Системс,"Составление сводных таблиц с ценами для оборудования и материалов по каждому объекту. Анализ ценообразования оборудования и материалов по всем выпускаемым...Высшее образование (техническое). Аналогичный опыт работы от 1 года. Опыт работы с большими объемами информации, базами данных, табличными формами. ",70 000 – 75 000 руб.
47,Менеджер по работе с маркетплейсами,https://spb.hh.ru/vacancy/54735508?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Карвиль,"Анализ условий и организация участия в акциях, предлагаемых площадками. Анализ ценообразования и внесение изменений в существующую логику. Контроль дебиторской задолженности. Опыт работы с маркетплейсами от 1 года. Высшее образование. Хорошие коммуникативные навыки. Уверенный пользователь Excel (в т.ч. функции ВПР). ",70 000 – 90 000 руб.
48,Менеджер программы лояльности,https://spb.hh.ru/vacancy/54660700?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,"ЗооОптТорг.рф, сеть зоомагазинов","...текстов, отправка, анализ результатов и корректировка действий по результатам. Анализ потребностей покупателей в рамках программы лояльности. Анализ базы данных участников...Высшее образование. Опыт работы на аналогичной должности от 1 года. Опыт участия в построении и развитии программы лояльности. ",от 100 000 руб.
49,"Главный специалист (Управление инвестиционного планирования), г.Мончегорск",https://spb.hh.ru/vacancy/54876086?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Норникель,"Формирование ожидаемых и фактических данных по инвестиционным проектам/программам. Контроль документов на полноту состава и содержания, экономическая/техническая целесообразность. Высшее профессиональное образование . Приветствуется опыт работы по направлению планирования и бюджетирования на промышленных предприятиях. Уверенный пользователь ПК: Microsoft Office, Excel.",130 000 – 140 000 руб.
50,Главный специалист (технолог системы корпоративного электронного документооборота),https://spb.hh.ru/vacancy/54909902?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Газпром межрегионгаз,"3. Подготовка и анализ отчетной информации: - формирование отчетов. - изучение сложившейся практики процессов документооборота. - подготовка предложений по их оптимизации. 4. знания в области реляционных баз данных (Oracle, MS SQL), навыки использования SQL-запросов для составления отчетов. - знание основных спецификаций XML. - ",80 000 – 100 000 руб.
51,Специалист по экономической безопасности,https://spb.hh.ru/vacancy/54798400?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Стройгазсервис,"Оперативная проверка полного пакета документов контрагента. Проверка контрагентов на благонадёжность. Анализ поручителей. Проверка имущества. Проверка транспортных компаний. Проверка утверждённых кандидатов...Уверенные знания проверки контрагентов / физических лиц. Знание законов РФ (по данному профилю). Уверенное знание информационных ресурсов (ФССП, ФНС, реестр залогов...",60 000 – 70 000 руб.
52,Социолог,https://spb.hh.ru/vacancy/54930377?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ФГБОУ ВО Санкт-Петербургский государственный университет,"4. Координация запуска исследований и сбора данных. 5. Анализ количественных и качественных данных. 6. Подготовка аналитических и презентационных отчетов по...Опыт участия в проведении социологических исследований. 4. Навыки поиска и анализа литературы. 5. Аналитические навыки, навыки подготовки отчетов и презентации...",от 45 000 руб.
53,Администратор баз данных,https://spb.hh.ru/vacancy/42815605?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,"Администрирование одной из СУБД Oracle, MSSQL, PostgreSQL и др. Анализ и оптимизация производительности баз данных. Написание инструкций и скриптов для...Высшее техническое образование. Знание теоретических основ реляционных БД и языка SQL. Практический опыт работы по следующим направлениям: администрирование СУБД Oracle...",80 000 – 120 000 руб.
54,Product manager / Product Analyst,https://spb.hh.ru/vacancy/54548399?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,KiteGroup,"Анализировать эффективности каналов привлечения пользователей. Настраивать сбор и мониторинг данных, визуализировать ключевые метрики в отчетах и дашбордах. Умение проводить А...Опыт работы в качестве product manager/product analyst от 1 года. Опыт автоматизации процессов аналитики. Понимание базовых продуктовых метрик. ",от 90 000 руб.
55,Финансовый менеджер,https://spb.hh.ru/vacancy/54885512?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО ПитерОйл,"...корректировка отчетов в Excel при необходимости, отправка отчетов клиентам. Формирование сводных отчетов, структурирование и анализ данных. Выполнение иных поручений руководства.Владение ПК и офисной техникой на уровне уверенного пользователя. Знание Exсel и 1С, умение работать с цифрами, сводными таблицами...",50 000 – 60 000 руб.
56,Трейд-маркетолог,https://spb.hh.ru/vacancy/54913926?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Улыбка радуги,"Оценка эффективности трейд-маркетинговых мероприятий, формирование отчетности для поставщиков, анализ продаж. Анализ рекламной и трейд-маркетинговой активности конкурентов. Высшее образование (желательно в сфере маркетинга или менеджмента). Аналитические способности. Знание основ экономики и финансов будет являться преимуществом. ",от 80 000 руб.
57,Финансовый директор,https://spb.hh.ru/vacancy/54770490?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Формула2,"Построение финансовой модели при создании новых проектов. Контроль работы бухгалтерии в части налоговой оптимизации. Анализ финансовых показателей, рекомендации по их...Знание бухгалтерского, налогового и управленческого учетов, финансового менеджмента, методов финансового анализа и планирования. Опыт финансового анализа и подготовки управленческой отчетности. ",130 000 – 170 000 руб.
58,Менеджер по маркетингу,https://spb.hh.ru/vacancy/54136095?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Звукоизоляционные Европейские Технологии,"Взаимодействие с подрядчиками (типографии, фрилансеры и т.д.). Консолидация данных и подготовка отчетности по эффективности маркетинга и продаж. Высшее образование, опыт работы в отделе маркетинга от 3 лет. Общий технический кругозор, умение работать с технической информацией (сферой). ",100 000 – 120 000 руб.
59,Менеджер Битрикс24,https://spb.hh.ru/vacancy/54697854?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ИП Кондраков Артур Андреевич,"Сбор данных для ТЗ новых клиентов. Ведение проектов по внедрению Битрикс 24 в Компании и у клиентов. Ведение текущей клиентской...Опыт адаптации CRM под требования клиента - желателен. Умение эффективно презентовать продукт. Навыки анализа и описания бизнес-процессов предприятия заказчика, составление...",40 000 – 70 000 руб.
60,Ведущий менеджер направления Маркетплейсы,https://spb.hh.ru/vacancy/54915994?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,KASANIE,"Систематизация работы с текущими клиентами, достижение предельных показателей. Привлечение новых клиентов, ориентация на долгосрочные отношения. Расширение ассортимента, ввод в ассортимент...Высокие аналитические способности, навыки сбора и систематизации и анализа больших объемов данных (Excel Ваше всё). Обязателен опыт работы в E...",60 000 – 120 000 руб.
61,Трафик-менеджер (удалённо),https://spb.hh.ru/vacancy/54723773?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Школа развития памяти Константина Дудина,"Принятия решений на основе анализа и полученных данных. Генерирование гипотез по повышению ROMI. Планирование и реализация стратегии по повышению ROMI. Каким опытом нужно обладать: Опыт в реализации и запуске онлайн-проектов (онлайн-школы, тренинги, инфокурсы). Опыт руководства отделом или группой...",от 60 000 руб.
62,Менеджер по развитию,https://spb.hh.ru/vacancy/51197068?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,NewGen Vision,"Поиск специалистов на специализированных платформах. Поиск и анализ данных. Изучение новых бизнес-сфер. Закупка товаров для офиса.Гибкий ум и стремление к профессиональному развитию. Умение анализировать и аргументировать. Наблюдательность, внимательность к деталям. Развитый эмоциональный интеллект.",35 000 – 50 000 руб.
63,Ведущий специалист Службы информационной поддержки Отдела информационно-технической поддержки,https://spb.hh.ru/vacancy/51918279?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,СПб ГУП «АТС Смольного»,"Разработка нормативных документов, сценариев/скриптов для операторов Службы 122. Контроль и анализ телефонных звонков поступающих в «Единую региональную информационно-справочную...Высшее образование. Уверенный пользователь ПК Microsoft Word, Excel. Умение работать в режиме многозадачности. Навыки управления персоналом. Обязателен опыт работы в...",59 400 – 59 400 руб.
64,Специалист по контекстной рекламе / PPC специалист,https://spb.hh.ru/vacancy/54846688?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО TRINET,"Разработка стратегии. Подбор ключевых слов. Анализ конкурентов. Создание и ведение рекламных кампаний. Работа с сервисами веб-аналитики. Разработка стратегий оптимизации...Умение сводить отчеты до ROI при наличии необходимых данных. Рост компетенций в области маркетинга, аналитики и различных смежных областей – в...",от 70 000 руб.
65,Руководитель проекта - продажи на маркетплейсах,https://spb.hh.ru/vacancy/54898730?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,AliRadar,Управление процессами и ответственность за финансовые результаты направления Торговля на маркетплейсе. Координация работы команды: менеджеров и аналитика товаров/скаута. Опыт работы с Wildberries от года: понимание алгоритмов продвижения карточек и принципов работы Wb. Аналитический подход к своей работе: сделал...,100 000 – 200 000 руб.
66,Математик-программист (Java),https://spb.hh.ru/vacancy/41750593?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Nord.Codes,"Разработка поведенческих моделей игрока на основе анализа большого количества данных реальной игры. Анализ требований законодательства различных международных юрисдикций, подготовка документации...Хорошее знание основ теории вероятностей, комбинаторики и математической статистики. Уверенное владение языком программирования Java.",150 000 – 300 000 руб.
67,Менеджер по маркетингу,https://spb.hh.ru/vacancy/50142276?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Управляющая компания MKS Management Company,"Поиск и внедрение новых каналов продвижения, реализация кросс-маркетинговых мероприятий, работа с партнерами. Анализ эффективности проведенных мероприятий, эффективности работы сайта...Имеет опыт работы от 1 года в подобной должности. Профессионально владеет Excel. Любит и умеет составлять сложную аналитику и отчеты...",от 60 000 руб.
68,"Ведущий аналитик 1С (ERP, УТ, ЗУП, БП, ДО)",https://spb.hh.ru/vacancy/42018113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,СофтБаланс,"Участие в проектах сопровождения/внедрения в качестве ведущего аналитика: Обследование структуры и бизнес-процессов заказчика. Анализ баз данных, выявление несоответствий...Исполнительность, пунктуальность, нацеленность на результат. Знание методик исследования, анализа и моделирования бизнес-процессов, знание различных нотаций (IDEF, BPMN и т. ",80 000 – 120 000 руб.
69,CRM-маркетолог,https://spb.hh.ru/vacancy/54408572?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО МКК Киберлэндинг,"Проводить регулярный мониторинг и анализ показателей эффективности омниканальных цепочек, оптимизировать кампании для текущих клиентов на основе данных (выявление слабых точек......можно решить с помощью команды и мозгового штурма. Плюс, если не представляете свою жизнь без больших данных и креативного взгляда.",от 100 000 руб.
70,Менеджер по работе с дебиторской задолженностью,https://spb.hh.ru/vacancy/54572697?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Микрокредитная компания Финансовый корпус,"Проверки по базам должников, сбор и анализ данных. Мониторинг и оценка платежеспособности физ. лиц- предпринимателей и их бизнесов. Опыт работы с проблемной задолженностью- малым бизнесом от 5 лет. Аналитический склад ума, умение анализировать данные по физ. ",80 000 – 180 000 руб.
71,Химик-технолог,https://spb.hh.ru/vacancy/54488137?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Олигоматрикс,"Работа со вспомогательным лабораторным оборудованием. Сбор, анализ и фиксация полученных данных. Ведение лабораторной документации (планы и протоколы эксперимента, журналы, заполняемые...Профильное образование (химическое, биохимическое). Теоретические знания основ хроматографии. Опыт работы на хроматографическом (аналитическая, препаративная хроматография) и фильтрационном оборудовании будет вашим...",от 50 000 руб.
72,Финансовый директор,https://spb.hh.ru/vacancy/54210799?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Отельеры,"...реализации ФП, достоверности данных. - Контроль внесения доходов, денежных средств, контроль заявок в программе манаджет. - Изучение и экономический анализ источников дохода...опытный финансовый директор, знающий и работающий по методам финансового планирования технологии АТМ.",от 150 000 руб.
73,Специалист тендерного отдела,https://spb.hh.ru/vacancy/54841375?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Аргус,"Осуществление ежедневного мониторинга специализированных сайтов, поисковых систем, торговых площадок по объявлению государственных и коммерческих тендеров. Анализ вышедших закупок и оценка...Аналогичный опыт работы в тендерном отделе со стороны Исполнителя будет вашим преимуществом. Умение читать документацию и работать с документами. ",от 40 000 руб.
74,Руководитель отдела закупок,https://spb.hh.ru/vacancy/54217161?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Вальд,5. Разработка и контроль исполнения бюджета отдела. 6. Анализ и контроль закупочных цен. 7. Планирование и отслеживание платежей и отгрузок. Предпочтительно в торговых и производственных компаниях. Приветствуется: Знание СУБД (систем управления базами данных). Требования: - высшее образование (очная форма обучения). - ,от 130 000 руб.
75,Директор по маркетингу,https://spb.hh.ru/vacancy/54460362?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,АО Совплим,"Анализ собственной продукции, позиционирование, место на рынке. Изучение внутренних данных. Анализ продаж по группам, продуктам, регионам, каналам сбыта, оценка динамики......анализа рыночного окружения, умение собирать информацию из открытых источников для целей маркетингового планирования. Знание методов сбора, систематизации, обработки и анализа...",120 000 – 250 000 руб.
76,Инженер (Группа планирования и мониторинга поставок),https://spb.hh.ru/vacancy/54659749?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Велесстрой,"Осуществление контроля соблюдения графика поставки МТР (выявление отставаний, анализ количества/ объема фактически поставленных МТР, мониторинг потребности в дополнительной поставке МТР...Стаж работы в должности инженера на строительном объекте, мастера на строительном объекте, бригадира на строительном объекте от 1 года. ",110 000 – 140 000 руб.
77,Руководитель проектов eCommerce,https://spb.hh.ru/vacancy/54477850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Среда,"Эксперт в области создания аналитических систем для обработки больших данных. Разработчик инновационных продуктов в области страхования и электронной коммерции для...Опыт работы в проектах по созданию высоконагруженных платформенных решений (SaaS). Опыт работы в проектах с применением технологий машинного обучения, искусственного...",от 120 000 руб.
78,Ведущий маркетолог,https://spb.hh.ru/vacancy/54480289?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,RAMM,"Масштабировать трафик с контекстной рекламы и выполнять план по заявкам (сейчас 1500 шт/месяц, нужно от 3000 при сохранении CPO...Любить дедлайны. Строить логичные выводы на основе анализа данных  готовность к самостоятельной работе, не ждешь тасков. Одним из входных заданий...",70 000 – 150 000 руб.
79,Специалист со знанием английского языка,https://spb.hh.ru/vacancy/50979622?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,NewGen Vision,"Поиск специалистов на специализированных платформах. Поиск и анализ данных. Изучение новых бизнес-сфер. Офис-менеджмент.Английский на уровне B2 (Upper-Intermediate) и выше — работа предполагает изучение англоязычного контента, аналтическую работу с источниками на английском...",30 000 – 45 000 руб.
